Date,Open,High,Low,Close,Adj Close,Volume
24/09/2021,32719.28125,32876.66016,29922.28906,31304.16406,31304.16406,31303866576
25/09/2021,31304.99609,31418.52734,30515.10156,31214.16797,31214.16797,23094420212
26/09/2021,31217.84766,32125.7832,29849.07422,31611.8418,31611.8418,22432087345
27/09/2021,31630.60547,32400.78125,30784.85938,30827.18555,30827.18555,22611827530
28/09/2021,30801.75977,31206.60742,30229.42383,30302.57422,30302.57422,22312676074
29/09/2021,30325.05273,31551.69141,30157.08008,30955.47461,30955.47461,22791413563
30/09/2021,30945.72461,32719.75195,30865.81055,32513.4707,32513.4707,23121795721
01/10/2021,32532.66016,35756.67578,32198.38672,35522.47656,35522.47656,31634614700
02/10/2021,35537.62891,35645.67969,35042.82813,35224.4375,35224.4375,22601959728
03/10/2021,35201.21094,36272.20703,34815.28125,35519.17188,35519.17188,19629973887
04/10/2021,35525.76953,36324.07422,34599.39063,36094.25,36094.25,24534095035
05/10/2021,36139.85938,38045.3125,36055.38672,37804.09375,37804.09375,26326028750
06/10/2021,37783.4375,40892.22266,37254.52734,40730.46875,40730.46875,36075782644
07/10/2021,40713.67578,40713.67578,39267.62109,39507.04297,39507.04297,27026171508
08/10/2021,39504.22656,41124.08203,39468.98828,39642.89063,39642.89063,25563503954
09/10/2021,39614.92969,40693.39063,39471.95703,40377.73438,40377.73438,23866906712
10/10/2021,40366.41797,41349.32031,39860.625,40225.89063,40225.89063,29030396546
11/10/2021,40198.38281,42470.14063,40012,42294.43359,42294.43359,31370416797
12/10/2021,42325.36719,42347.67188,40081.67969,41277.03906,41277.03906,30260242654
13/10/2021,41274.97656,42233.40625,39903.89063,41995.04297,41995.04297,30496491126
14/10/2021,41974.36719,42794.5625,41625.02734,41938.32031,41938.32031,26789321284
15/10/2021,41956.15625,45671.4375,41577.55078,44811.87891,44811.87891,37671925373
16/10/2021,44823.21094,45303.6875,43802.17969,44301.31641,44301.31641,24918843768
17/10/2021,44298.01953,44788.37109,43013.04297,44730.89063,44730.89063,21097763405
18/10/2021,44727.39063,45560.67969,43715.57422,45156.34766,45156.34766,27705286413
19/10/2021,45168.78906,46718.77344,44652.53125,46590.65234,46590.65234,29342062534
20/10/2021,46607.03125,48430.22656,46084.28125,47744.69531,47744.69531,29510115951
21/10/2021,47751.49219,48300.25,45034.3125,45108.96875,45108.96875,33288254254
22/10/2021,45129.06641,46153.94922,43742.82422,44114.17188,44114.17188,27935813065
23/10/2021,44115.89063,44878.53906,43484.90625,44615.84766,44615.84766,19536030089
24/10/2021,44597.48047,44697.375,43343.89453,44274.35547,44274.35547,19848840642
25/10/2021,44247.53906,46318.98438,44083.85156,45801.90234,45801.90234,22570366858
26/10/2021,45796.76953,45951.75781,43582.55859,43851.45703,43851.45703,25337929188
27/10/2021,43842.89063,44604.40234,42324.74609,42588.80469,42588.80469,31792524077
28/10/2021,42580.31641,45052.57813,42209.44531,43934.01563,43934.01563,32798668114
29/10/2021,43935.99609,46000.96484,43720.52344,45471.65234,45471.65234,26932318643
30/10/2021,45479.98438,45546.32031,44514.70703,45223.83984,45223.83984,23498674011
31/10/2021,45195.82422,45601.875,43897.93359,44813.85547,44813.85547,23562900625
01/11/2021,44814.94531,45719.05078,43643.20703,44676.82031,44676.82031,26475016624
02/11/2021,44646.68359,47177.01953,44440.16016,46430.30859,46430.30859,27719263918
03/11/2021,46450.82031,46634.32422,44794.75781,45983.87891,45983.87891,26380085185
04/11/2021,45963.25391,46119.26172,45063.49219,45493.08594,45493.08594,24145511461
05/11/2021,45498.89844,46357.92578,45110.67969,45268.20703,45268.20703,22665404349
06/11/2021,45226.14063,45629.51953,44572.39844,45582.69531,45582.69531,21555011113
07/11/2021,45603.02344,46941.69922,45512.32031,46941.69922,46941.69922,18328929167
08/11/2021,46954.35938,49895.64453,46954.35938,49813.44141,49813.44141,30319731365
09/11/2021,49800.83984,50548.25391,48966.79297,49389.37891,49389.37891,31237536365
10/11/2021,49375.74609,50843.44531,47159.19531,48460.18359,48460.18359,36333510716
11/11/2021,48448,48991.52344,47866.96484,48598.03125,48598.03125,26847253251
12/11/2021,48533.69531,49013.78516,46472.55078,47824.01953,47824.01953,26898906790
13/11/2021,47825.64453,48390.35156,47188.75391,48057.77734,48057.77734,22716526254
14/11/2021,48047.22656,48818.14453,47445.24219,48797.01953,48797.01953,18725253856
15/11/2021,48837.60156,49396.87109,47378.31641,47394.72266,47394.72266,22787486625
16/11/2021,47516.51172,47516.51172,43871.15234,44817.12109,44817.12109,34896687799
17/11/2021,44801.01172,45209.70313,43561.62109,44752.19531,44752.19531,29043843782
18/11/2021,44746.35938,45177.76953,41886.37891,42181.53906,42181.53906,30659612153
19/11/2021,42147.45703,43314.26563,41308.06641,43227.65625,43227.65625,28785728531
20/11/2021,43224.3125,44522.04297,42744.31641,44401.04297,44401.04297,22777440101
21/11/2021,44425.82031,44629.55078,43599.0625,43720.55078,43720.55078,19446999730
22/11/2021,43702.96484,44079.35547,41592.44922,42016.35156,42016.35156,26152222599
23/11/2021,42027.74609,43254.88672,41562.56641,43040.76953,43040.76953,28025773970
24/11/2021,43038.35938,43207.5625,41948.76563,42224.39063,42224.39063,27485833983
25/11/2021,42888.35547,44566.05078,42863.26953,43024.10938,43024.10938,25753775881
26/11/2021,44290.31641,44471.17969,40161.78906,40161.78906,40161.78906,31345936049
27/11/2021,40286.73828,41468.44922,40223.62891,41083.07813,41083.07813,22904904444
28/11/2021,41081.53906,43024.72266,40154.96094,42913.32813,42913.32813,21076361779
